level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	135	77	1368	1695	-1	
3	1	1	1	0	0	135	77	1368	1689	-1	
4	1	1	1	1	0	136	77	398	26	-1	
5	1	1	1	1	1	136	77	130	26	96.558441	Invoice
5	1	1	1	1	2	283	83	53	20	96.770737	no:
5	1	1	1	1	3	355	77	179	26	96.614418	16273983
4	1	1	1	2	0	136	145	840	26	-1	
5	1	1	1	2	1	136	146	69	22	96.588120	Date
5	1	1	1	2	2	218	145	28	23	96.591858	of
5	1	1	1	2	3	258	145	83	24	96.413254	issue:
5	1	1	1	2	4	805	145	171	26	96.506248	04/01/2017
4	1	1	1	3	0	135	443	811	41	-1	
5	1	1	1	3	1	135	443	117	41	96.905998	Seller:
5	1	1	1	3	2	828	447	118	25	96.863365	Client:
4	1	1	1	4	0	144	510	850	27	-1	
5	1	1	1	4	1	144	511	88	26	96.561104	Reyes,
5	1	1	1	4	2	246	510	123	27	96.657463	Holloway
5	1	1	1	4	3	381	510	48	21	96.272263	and
5	1	1	1	4	4	443	511	45	20	96.508980	Lee
5	1	1	1	4	5	836	510	99	21	95.781357	Castillo
5	1	1	1	4	6	948	510	46	21	96.610771	LLC
4	1	1	1	5	0	144	546	992	27	-1	
5	1	1	1	5	1	144	546	78	21	96.854927	38676
5	1	1	1	5	2	239	546	103	27	96.471214	Johnson
5	1	1	1	5	3	360	547	60	26	96.654045	Burg
5	1	1	1	5	4	434	546	67	21	96.836433	Suite
5	1	1	1	5	5	513	546	50	21	96.534958	666
5	1	1	1	5	6	837	546	83	21	96.741402	70391
5	1	1	1	5	7	934	546	88	27	96.812614	Kelsey
5	1	1	1	5	8	1031	547	105	20	96.131760	Terrace
4	1	1	1	6	0	143	582	991	24	-1	
5	1	1	1	6	1	143	583	68	20	93.085556	West
5	1	1	1	6	2	223	582	212	24	91.692772	Rebeccamouth,
5	1	1	1	6	3	449	582	35	21	95.696518	SD
5	1	1	1	6	4	497	582	84	21	96.747810	02588
5	1	1	1	6	5	836	582	155	24	91.424438	Garcialand,
5	1	1	1	6	6	1003	583	35	20	96.889923	VT
5	1	1	1	6	7	1048	582	86	21	96.601883	41740
4	1	1	1	7	0	141	653	974	21	-1	
5	1	1	1	7	1	141	654	50	20	96.746597	Tax
5	1	1	1	7	2	203	653	30	21	93.243744	Id:
5	1	1	1	7	3	247	653	175	21	89.081841	909-83-7738
5	1	1	1	7	4	834	654	50	20	96.979340	Tax
5	1	1	1	7	5	896	653	30	21	86.246429	Id:
5	1	1	1	7	6	939	653	176	21	86.246429	901-88-0463
4	1	1	1	8	0	144	688	486	21	-1	
5	1	1	1	8	1	144	689	71	20	91.793777	IBAN:
5	1	1	1	8	2	228	688	402	21	89.398521	GB96VWUL52026848004193
