level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	135	77	1367	1466	-1	
3	1	1	1	0	0	135	77	1367	1460	-1	
4	1	1	1	1	0	136	77	398	26	-1	
5	1	1	1	1	1	136	77	130	26	96.635475	Invoice
5	1	1	1	1	2	283	83	53	20	96.529266	no:
5	1	1	1	1	3	355	77	179	26	96.529266	19471831
4	1	1	1	2	0	136	145	841	26	-1	
5	1	1	1	2	1	136	146	69	22	96.588120	Date
5	1	1	1	2	2	218	145	28	23	96.591858	of
5	1	1	1	2	3	258	145	83	23	96.413254	issue:
5	1	1	1	2	4	805	145	172	26	95.977318	04/09/2014
4	1	1	1	3	0	135	443	811	41	-1	
5	1	1	1	3	1	135	443	117	41	96.905998	Seller:
5	1	1	1	3	2	828	447	118	25	96.863365	Client:
4	1	1	1	4	0	144	510	991	24	-1	
5	1	1	1	4	1	144	510	95	21	96.961639	Palmer
5	1	1	1	4	2	250	510	39	21	95.928825	Ltd
5	1	1	1	4	3	837	510	62	24	96.459297	Rios,
5	1	1	1	4	4	912	510	76	21	96.135513	Oneill
5	1	1	1	4	5	1001	510	48	21	96.135513	and
5	1	1	1	4	6	1063	511	72	20	96.803810	Rowe
4	1	1	1	5	0	143	546	982	27	-1	
5	1	1	1	5	1	143	546	68	21	96.896927	9790
5	1	1	1	5	2	224	547	79	20	96.840569	Bauer
5	1	1	1	5	3	315	546	54	21	96.624580	Hills
5	1	1	1	5	4	380	547	53	26	96.903534	Apt.
5	1	1	1	5	5	448	546	48	21	96.854523	146
5	1	1	1	5	6	837	546	66	21	96.694824	3571
5	1	1	1	5	7	914	546	57	21	92.577789	Tina
5	1	1	1	5	8	982	546	143	27	91.749069	Trafficway
4	1	1	1	6	0	143	582	1008	27	-1	
5	1	1	1	6	1	143	582	77	21	93.299210	South
5	1	1	1	6	2	234	582	153	24	91.892227	Patriciaton,
5	1	1	1	6	3	400	582	36	21	96.862030	SD
5	1	1	1	6	4	448	582	84	21	96.708145	32497
5	1	1	1	6	5	837	582	173	27	90.821587	Buckleyland,
5	1	1	1	6	6	1024	583	32	20	95.987701	LA
5	1	1	1	6	7	1066	582	85	21	95.987701	97688
4	1	1	1	7	0	141	653	974	21	-1	
5	1	1	1	7	1	141	654	50	20	96.431183	Tax
5	1	1	1	7	2	203	653	30	21	86.387062	Id:
5	1	1	1	7	3	247	653	175	21	86.387062	924-71-1106
5	1	1	1	7	4	834	654	50	20	96.493385	Tax
5	1	1	1	7	5	896	653	30	21	93.194984	Id:
5	1	1	1	7	6	939	653	176	21	91.978973	922-72-5979
4	1	1	1	8	0	144	688	480	21	-1	
5	1	1	1	8	1	144	689	71	20	90.277031	IBAN:
5	1	1	1	8	2	228	688	396	21	89.991638	GBO5YUTG50853913677557
4	1	1	1	9	0	136	763	110	26	-1	
5	1	1	1	9	1	136	763	110	26	96.161713	ITEMS
4	1	1	1	10	0	162	845	1337	30	-1	
5	1	1	1	10	1	162	845	38	28	96.602913	No.
5	1	1	1	10	2	242	845	140	30	95.535934	Description
5	1	1	1	10	3	681	845	43	30	96.742195	Qty
5	1	1	1	10	4	781	850	36	16	94.311081	UM
5	1	1	1	10	5	903	850	42	16	96.251480	Net
5	1	1	1	10	6	955	849	60	22	96.053345	price
5	1	1	1	10	7	1062	850	41	16	95.871117	Net
5	1	1	1	10	8	1113	849	70	17	95.871117	worth
5	1	1	1	10	9	1231	850	49	16	90.683113	VAT
5	1	1	1	10	10	1290	849	39	20	90.683113	[%]
5	1	1	1	10	11	1430	849	69	17	96.730438	Gross
4	1	1	1	11	0	1428	876	70	17	-1	
5	1	1	1	11	1	1428	876	70	17	96.509148	worth
4	1	1	1	12	0	169	932	1330	28	-1	
5	1	1	1	12	1	169	932	20	28	53.355106	tks
5	1	1	1	12	2	242	937	86	16	89.681953	15"x15"
5	1	1	1	12	3	338	936	63	17	96.321098	White
5	1	1	1	12	4	411	936	118	17	96.268105	Decorative
5	1	1	1	12	5	676	936	47	20	96.738991	3,00
5	1	1	1	12	6	773	936	51	17	96.460052	each
5	1	1	1	12	7	939	936	75	20	96.539253	645,77
5	1	1	1	12	8	1088	937	10	16	78.384506	1
5	1	1	1	12	9	1109	936	74	20	78.384506	937,31
5	1	1	1	12	10	1284	936	46	18	94.838074	10%
5	1	1	1	12	11	1402	936	11	17	47.201607	2
5	1	1	1	12	12	1424	936	75	20	47.201607	131,04
4	1	1	1	13	0	241	963	322	22	-1	
5	1	1	1	13	1	241	963	70	17	96.599686	Coffee
5	1	1	1	13	2	319	963	60	17	96.426712	Table
5	1	1	1	13	3	387	964	40	21	96.091553	Top
5	1	1	1	13	4	438	963	55	22	96.537247	Lapis
5	1	1	1	13	5	503	963	60	17	95.088181	Lazuli
4	1	1	1	14	0	242	990	262	23	-1	
5	1	1	1	14	1	242	992	126	21	93.073280	Marquetery
5	1	1	1	14	2	378	991	52	17	96.396248	Patio
5	1	1	1	14	3	440	990	64	18	96.911156	Décor
4	1	1	1	15	0	172	1050	1326	22	-1	
5	1	1	1	15	1	172	1051	17	16	96.422691	2.
5	1	1	1	15	2	241	1050	51	17	92.900177	4'x2'
5	1	1	1	15	3	303	1050	73	17	96.298050	Marble
5	1	1	1	15	4	386	1050	67	22	96.611954	Dining
5	1	1	1	15	5	462	1050	61	17	96.790268	Table
5	1	1	1	15	6	531	1051	40	21	96.592941	Top
5	1	1	1	15	7	676	1050	47	20	96.281250	5,00
5	1	1	1	15	8	773	1050	51	17	96.694237	each
5	1	1	1	15	9	919	1051	10	16	90.682968	1
5	1	1	1	15	10	939	1050	75	20	90.682968	840,10
5	1	1	1	15	11	1087	1050	12	17	95.350449	9
5	1	1	1	15	12	1109	1050	74	19	96.019691	200,50
5	1	1	1	15	13	1284	1050	45	17	95.594780	10%
5	1	1	1	15	14	1389	1051	25	16	92.316772	10
5	1	1	1	15	15	1424	1050	74	19	92.316772	120,55
4	1	1	1	16	0	242	1078	287	22	-1	
5	1	1	1	16	1	242	1078	61	17	96.706940	Pietra
5	1	1	1	16	2	314	1079	50	16	96.589256	Dura
5	1	1	1	16	3	375	1078	53	17	96.111275	Birds
5	1	1	1	16	4	438	1078	51	22	96.866470	Inlay
5	1	1	1	16	5	497	1079	32	16	97.003845	Art
4	1	1	1	17	0	242	1106	248	17	-1	
5	1	1	1	17	1	242	1106	99	17	96.344673	Furniture
5	1	1	1	17	2	351	1107	74	16	92.833870	Decors
5	1	1	1	17	3	435	1107	55	16	91.870956	B444
4	1	1	1	18	0	172	1165	1327	22	-1	
5	1	1	1	18	1	172	1165	17	18	58.789810	Sh
5	1	1	1	18	2	241	1165	26	17	96.100807	60
5	1	1	1	18	3	277	1165	70	17	96.100807	Inches
5	1	1	1	18	4	357	1165	72	17	96.352043	Marble
5	1	1	1	18	5	440	1165	81	22	96.461594	Dinning
5	1	1	1	18	6	530	1165	61	17	95.839462	Table
5	1	1	1	18	7	676	1165	47	20	96.798737	5,00
5	1	1	1	18	8	773	1165	51	17	96.740341	each
5	1	1	1	18	9	918	1166	11	16	91.339386	5
5	1	1	1	18	10	939	1165	75	20	91.339386	908,00
