level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	135	77	1367	1870	-1	
3	1	1	1	0	0	135	77	1367	1864	-1	
4	1	1	1	1	0	136	77	398	26	-1	
5	1	1	1	1	1	136	77	130	26	96.422264	Invoice
5	1	1	1	1	2	283	83	53	20	95.833672	no:
5	1	1	1	1	3	353	77	181	26	89.490387	51109338
4	1	1	1	2	0	136	145	840	26	-1	
5	1	1	1	2	1	136	146	69	22	96.588120	Date
5	1	1	1	2	2	218	145	28	23	96.591858	of
5	1	1	1	2	3	258	145	83	24	96.413254	issue:
5	1	1	1	2	4	805	145	171	26	96.304642	04/13/2013
4	1	1	1	3	0	135	443	811	41	-1	
5	1	1	1	3	1	135	443	117	41	96.905998	Seller:
5	1	1	1	3	2	828	447	118	25	96.863365	Client:
4	1	1	1	4	0	142	510	839	27	-1	
5	1	1	1	4	1	142	510	126	24	96.750664	Andrews,
5	1	1	1	4	2	282	510	68	27	96.091339	Kirby
5	1	1	1	4	3	361	510	48	21	96.120140	and
5	1	1	1	4	4	421	510	91	21	96.530693	Valdez
5	1	1	1	4	5	837	510	93	21	96.312180	Becker
5	1	1	1	4	6	942	510	39	21	96.910812	Ltd
4	1	1	1	5	0	144	546	1119	27	-1	
5	1	1	1	5	1	144	546	83	21	96.408173	58861
5	1	1	1	5	2	240	546	125	21	94.284821	Gonzalez
5	1	1	1	5	3	377	546	85	21	96.634926	Prairie
5	1	1	1	5	4	836	546	66	21	96.712692	8012
5	1	1	1	5	5	916	546	105	21	96.418808	Stewart
5	1	1	1	5	6	1032	546	106	21	95.855072	Summit
5	1	1	1	5	7	1148	547	53	26	95.811127	Apt.
5	1	1	1	5	8	1214	547	49	20	95.723747	455
4	1	1	1	6	0	144	582	1040	27	-1	
5	1	1	1	6	1	144	582	62	21	92.773140	Lake
5	1	1	1	6	2	219	582	166	24	91.851059	Daniellefurt,
5	1	1	1	6	3	399	583	24	20	88.943123	IN
5	1	1	1	6	4	437	582	84	21	88.943123	57228
5	1	1	1	6	5	837	582	73	21	96.685318	North
5	1	1	1	6	6	924	582	116	27	95.537842	Douglas,
5	1	1	1	6	7	1052	583	36	20	96.641365	AZ
5	1	1	1	6	8	1100	582	84	21	96.336533	95355
4	1	1	1	7	0	141	653	974	21	-1	
5	1	1	1	7	1	141	654	50	20	96.298569	Tax
5	1	1	1	7	2	203	653	30	21	93.197777	Id:
5	1	1	1	7	3	247	653	175	21	92.988541	945-82-2137
5	1	1	1	7	4	834	654	50	20	96.941963	Tax
5	1	1	1	7	5	896	653	30	21	93.172279	Id:
5	1	1	1	7	6	939	653	176	21	91.353600	942-80-0517
4	1	1	1	8	0	144	688	482	21	-1	
5	1	1	1	8	1	144	689	71	20	90.276627	IBAN:
5	1	1	1	8	2	228	688	398	21	90.276627	GB75MCRL06841367619257
4	1	1	1	9	0	136	763	110	26	-1	
5	1	1	1	9	1	136	763	110	26	96.161713	ITEMS
4	1	1	1	10	0	162	845	1337	30	-1	
5	1	1	1	10	1	162	845	38	28	96.602913	No.
5	1	1	1	10	2	242	845	140	30	95.535934	Description
5	1	1	1	10	3	681	845	43	30	96.742195	Qty
5	1	1	1	10	4	781	850	36	16	94.311081	UM
5	1	1	1	10	5	903	850	42	16	96.251480	Net
5	1	1	1	10	6	955	849	60	22	96.053345	price
5	1	1	1	10	7	1062	850	41	16	95.871117	Net
5	1	1	1	10	8	1113	849	70	17	95.871117	worth
5	1	1	1	10	9	1231	850	49	16	90.683113	VAT
5	1	1	1	10	10	1290	849	39	20	90.683113	[%]
5	1	1	1	10	11	1430	849	69	17	96.730438	Gross
4	1	1	1	11	0	1428	876	70	17	-1	
5	1	1	1	11	1	1428	876	70	17	96.255974	worth
4	1	1	1	12	0	173	936	1326	22	-1	
5	1	1	1	12	1	173	937	16	16	8.293266	L
5	1	1	1	12	2	241	936	139	17	96.680511	CLEARANCE!
5	1	1	1	12	3	392	937	44	16	96.695320	Fast
5	1	1	1	12	4	446	936	39	17	96.644684	Dell
5	1	1	1	12	5	496	936	88	22	93.932526	Desktop
5	1	1	1	12	6	676	936	47	20	96.799698	3,00
5	1	1	1	12	7	773	936	51	17	96.903938	each
5	1	1	1	12	8	939	936	75	20	96.928703	209,00
5	1	1	1	12	9	1109	936	75	20	96.363777	627,00
5	1	1	1	12	10	1284	936	46	18	96.400398	10%
5	1	1	1	12	11	1423	936	76	20	96.881454	689,70
4	1	1	1	13	0	241	963	282	22	-1	
5	1	1	1	13	1	241	963	110	22	96.439590	Computer
5	1	1	1	13	2	360	963	25	17	94.442894	PC
5	1	1	1	13	3	396	964	59	16	96.738632	DUAL
5	1	1	1	13	4	463	963	60	17	96.226448	CORE
4	1	1	1	14	0	241	991	316	19	-1	
5	1	1	1	14	1	241	991	114	17	96.564354	WINDOWS
5	1	1	1	14	2	365	991	25	17	93.298019	10
5	1	1	1	14	3	399	991	102	19	93.159576	4/8/16GB
5	1	1	1	14	4	511	992	46	16	96.120529	RAM
4	1	1	1	15	0	172	1050	1326	22	-1	
5	1	1	1	15	1	172	1050	17	17	96.422691	2.
5	1	1	1	15	2	242	1051	27	16	84.782013	HP
5	1	1	1	15	3	277	1050	55	17	84.782013	T520
5	1	1	1	15	4	340	1050	46	17	96.395363	Thin
5	1	1	1	15	5	396	1050	63	17	96.057648	Client
5	1	1	1	15	6	468	1051	109	21	96.871796	Computer
5	1	1	1	15	7	676	1050	47	20	96.281250	5,00
5	1	1	1	15	8	773	1050	51	17	96.694237	each
5	1	1	1	15	9	954	1050	60	20	96.733391	37,75
5	1	1	1	15	10	1110	1050	73	20	96.073593	188,75
5	1	1	1	15	11	1284	1050	45	17	95.594780	10%
5	1	1	1	15	12	1424	1050	74	20	96.587440	207,63
4	1	1	1	16	0	240	1078	360	21	-1	
5	1	1	1	16	1	240	1079	50	16	93.095940	AMD
5	1	1	1	16	2	300	1078	102	21	92.567307	GX-212JC
5	1	1	1	16	3	413	1078	78	17	92.691299	1.2GHz
5	1	1	1	16	4	500	1078	44	17	92.501625	4GB
5	1	1	1	16	5	554	1079	46	16	96.911041	RAM
4	1	1	1	17	0	240	1106	276	17	-1	
5	1	1	1	17	1	240	1106	85	17	92.968864	TESTED
5	1	1	1	17	2	337	1107	75	16	92.345490	!!READ
5	1	1	1	17	3	422	1106	94	17	91.923271	BELOW!!
4	1	1	1	18	0	172	1165	1327	22	-1	
5	1	1	1	18	1	172	1165	17	18	89.056351	3:
5	1	1	1	18	2	241	1165	81	22	95.832451	gaming
5	1	1	1	18	3	333	1169	23	18	95.832451	pc
5	1	1	1	18	4	365	1165	87	22	95.938576	desktop
5	1	1	1	18	5	461	1166	106	21	96.541046	computer
5	1	1	1	18	6	677	1165	46	20	96.872322	1,00
5	1	1	1	18	7	773	1165	51	17	96.926208	each
5	1	1	1	18	8	939	1165	75	20	96.877968	400,00
5	1	1	1	18	9	1108	1165	75	19	96.831451	400,00
5	1	1	1	18	10	1284	1165	45	17	96.624725	10%
5	1	1	1	18	11	1423	1165	76	20	96.807663	440,00
4	1	1	1	19	0	171	1225	1328	22	-1	
5	1	1	1	19	1	171	1226	18	16	93.131577	4.
5	1	1	1	19	2	242	1225	85	17	92.284714	12-Core
5	1	1	1	19	3	336	1225	84	22	96.816605	Gaming
5	1	1	1	19	4	430	1225	110	22	96.172783	Computer
5	1	1	1	19	5	676	1225	47	20	96.703453	3,00
5	1	1	1	19	6	773	1225	51	17	96.812660	each
5	1	1	1	19	7	939	1225	75	20	96.772270	464,89
5	1	1	1	19	8	1088	1226	10	16	83.544693	1
5	1	1	1	19	9	1109	1225	74	20	83.544693	394,67
5	1	1	1	19	10	1284	1225	45	17	95.623428	10%
5	1	1	1	19	11	1403	1226	10	16	25.806686	1
5	1	1	1	19	12	1424	1225	75	20	25.806686	534,14
4	1	1	1	20	0	242	1252	322	22	-1	
5	1	1	1	20	1	242	1252	88	22	96.455757	Desktop
5	1	1	1	20	2	341	1252	26	17	95.893387	PC
5	1	1	1	20	3	375	1253	68	16	95.893387	Tower
5	1	1	1	20	4	450	1252	114	17	96.145241	Affordable
4	1	1	1	21	0	241	1280	356	22	-1	
5	1	1	1	21	1	241	1280	89	17	96.269241	GAMING
5	1	1	1	21	2	341	1280	26	17	90.805977	PC
5	1	1	1	21	3	376	1280	44	17	90.805977	8GB
5	1	1	1	21	4	429	1281	50	16	96.793358	AMD
5	1	1	1	21	5	488	1281	54	21	96.845680	Vega
5	1	1	1	21	6	553	1280	44	17	96.150612	RGB
4	1	1	1	22	0	172	1339	1326	22	-1	
5	1	1	1	22	1	172	1340	17	16	26.973846	ab
5	1	1	1	22	2	241	1339	82	17	96.246803	Custom
5	1	1	1	22	3	334	1339	52	17	96.145752	Build
5	1	1	1	22	4	397	1339	39	17	96.183220	Dell
5	1	1	1	22	5	446	1339	92	22	93.280060	Optiplex
5	1	1	1	22	6	547	1339	54	17	93.280060	9020
5	1	1	1	22	7	676	1339	47	20	96.903038	5,00
5	1	1	1	22	8	773	1339	51	17	96.936562	each
5	1	1	1	22	9	939	1339	75	20	96.590157	221,99
5	1	1	1	22	10	1088	1340	10	16	8.077118	1
5	1	1	1	22	11	1110	1339	73	20	8.077118	109,95
5	1	1	1	22	12	1284	1339	45	17	96.557770	10%
5	1	1	1	22	13	1403	1340	10	16	54.451950	1
